Company,Role Title,Location,Slug,Source,Submission URL,Submission Status,Submission Fingerprint,Welc.ing Packet URL (welc.ing/r/<id>),Resume PDF (light),Resume PDF (print),Cover Letter TXT,Cover Letter PDF,Pitch HTML,Pitch MP4 (if present)
"Aledade, Inc.","Senior Technical Product Manager (AI Data Platform), Remote",United States,aledade-inc-senior-technical-product-manager-ai-data-platform-remote,curated-role,,,,https://welc.ing/r/pkt-jq0dnw,https://welc.ing/packets/pkt-jq0dnw/resume-light.pdf,https://welc.ing/packets/pkt-jq0dnw/resume.pdf,https://welc.ing/packets/pkt-jq0dnw/cover-letter.txt,https://welc.ing/packets/pkt-jq0dnw/cover-letter.pdf,https://welc.ing/packets/pkt-jq0dnw/pitch.html,
Alvarez & Marsal,"Manager - Product & Technology, Technology Industry Group (TIG) - Private Equity","New York, NY",alvarez-marsal-manager-product-technology-technology-industry-group-tig-private-equity,curated-role,https://www.alvarez-marsal.com/careers,live,,https://welc.ing/r/pkt-khxich,https://welc.ing/packets/pkt-khxich/resume-light.pdf,https://welc.ing/packets/pkt-khxich/resume.pdf,https://welc.ing/packets/pkt-khxich/cover-letter.txt,https://welc.ing/packets/pkt-khxich/cover-letter.pdf,https://welc.ing/packets/pkt-khxich/pitch.html,
Asana,"Senior Product Manager, Agent Context","New York, NY",asana-senior-product-manager-agent-context,curated-role,https://boards.greenhouse.io/asana,live,,https://welc.ing/r/pkt-tkd8w0,https://welc.ing/packets/pkt-tkd8w0/resume-light.pdf,https://welc.ing/packets/pkt-tkd8w0/resume.pdf,https://welc.ing/packets/pkt-tkd8w0/cover-letter.txt,https://welc.ing/packets/pkt-tkd8w0/cover-letter.pdf,https://welc.ing/packets/pkt-tkd8w0/pitch.html,
BlackRock,"Technical Product Manager, AI - Director","New York, NY",blackrock-technical-product-manager-ai-director,curated-role,https://careers.blackrock.com,live,,https://welc.ing/r/pkt-4ipcm5,https://welc.ing/packets/pkt-4ipcm5/resume-light.pdf,https://welc.ing/packets/pkt-4ipcm5/resume.pdf,https://welc.ing/packets/pkt-4ipcm5/cover-letter.txt,https://welc.ing/packets/pkt-4ipcm5/cover-letter.pdf,https://welc.ing/packets/pkt-4ipcm5/pitch.html,
Bloomberg,Technical Product Manager - AI Platforms - GenAI Developer Platform - CTO Office,"New York, NY",bloomberg-technical-product-manager-ai-platforms-genai-developer-platform-cto-office,curated-role,https://jobs.smartrecruiters.com/bloomberg,live,,https://welc.ing/r/pkt-nz68go,https://welc.ing/packets/pkt-nz68go/resume-light.pdf,https://welc.ing/packets/pkt-nz68go/resume.pdf,https://welc.ing/packets/pkt-nz68go/cover-letter.txt,https://welc.ing/packets/pkt-nz68go/cover-letter.pdf,https://welc.ing/packets/pkt-nz68go/pitch.html,
Bloomberg,Technical Product Manager - AI Ready Data,"New York, NY",bloomberg-technical-product-manager-ai-ready-data,curated-role,https://jobs.smartrecruiters.com/bloomberg,live,,https://welc.ing/r/pkt-13o6yg,https://welc.ing/packets/pkt-13o6yg/resume-light.pdf,https://welc.ing/packets/pkt-13o6yg/resume.pdf,https://welc.ing/packets/pkt-13o6yg/cover-letter.txt,https://welc.ing/packets/pkt-13o6yg/cover-letter.pdf,https://welc.ing/packets/pkt-13o6yg/pitch.html,
Bluehost,Principal Product Manager - AI Applications,United States,bluehost-principal-product-manager-ai-applications,curated-role,https://jobs.smartrecruiters.com/bluehost,live,,https://welc.ing/r/pkt-19jqqm9,https://welc.ing/packets/pkt-19jqqm9/resume-light.pdf,https://welc.ing/packets/pkt-19jqqm9/resume.pdf,https://welc.ing/packets/pkt-19jqqm9/cover-letter.txt,https://welc.ing/packets/pkt-19jqqm9/cover-letter.pdf,https://welc.ing/packets/pkt-19jqqm9/pitch.html,
BNY,"Director, POM Technical Product Management","New York, NY",bny-director-pom-technical-product-management,curated-role,https://www.bny.com/careers,live,,https://welc.ing/r/pkt-15lti0k,https://welc.ing/packets/pkt-15lti0k/resume-light.pdf,https://welc.ing/packets/pkt-15lti0k/resume.pdf,https://welc.ing/packets/pkt-15lti0k/cover-letter.txt,https://welc.ing/packets/pkt-15lti0k/cover-letter.pdf,https://welc.ing/packets/pkt-15lti0k/pitch.html,
Burtch Works,"Product Manager, AI","New York, NY",burtch-works-product-manager-ai,curated-role,,,,https://welc.ing/r/pkt-1vkevm9,https://welc.ing/packets/pkt-1vkevm9/resume-light.pdf,https://welc.ing/packets/pkt-1vkevm9/resume.pdf,https://welc.ing/packets/pkt-1vkevm9/cover-letter.txt,https://welc.ing/packets/pkt-1vkevm9/cover-letter.pdf,https://welc.ing/packets/pkt-1vkevm9/pitch.html,
Capital One,Senior Data Product Manager,"New York, NY",capital-one-senior-data-product-manager,curated-role,,,,https://welc.ing/r/pkt-48uqum,https://welc.ing/packets/pkt-48uqum/resume-light.pdf,https://welc.ing/packets/pkt-48uqum/resume.pdf,https://welc.ing/packets/pkt-48uqum/cover-letter.txt,https://welc.ing/packets/pkt-48uqum/cover-letter.pdf,https://welc.ing/packets/pkt-48uqum/pitch.html,
