Company,Role Title,Location,Slug,Source,Submission URL,Submission Status,Submission Fingerprint,Welc.ing Packet URL (welc.ing/r/<id>),Resume PDF (light),Resume PDF (print),Cover Letter TXT,Cover Letter PDF,Pitch HTML,Pitch MP4 (if present)
Bain & Company,Principal AI Infrastructure Technical Product Manager,Remote,bain-company-principal-ai-infrastructure-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-mk1g3t,https://welc.ing/packets/pkt-mk1g3t/resume-light.pdf,https://welc.ing/packets/pkt-mk1g3t/resume.pdf,https://welc.ing/packets/pkt-mk1g3t/cover-letter.txt,https://welc.ing/packets/pkt-mk1g3t/cover-letter.pdf,https://welc.ing/packets/pkt-mk1g3t/pitch.html,
Bain & Company,Principal AI Platform Product Manager,Remote,bain-company-principal-ai-platform-product-manager,curated-role,,,,https://welc.ing/r/pkt-eag76b,https://welc.ing/packets/pkt-eag76b/resume-light.pdf,https://welc.ing/packets/pkt-eag76b/resume.pdf,https://welc.ing/packets/pkt-eag76b/cover-letter.txt,https://welc.ing/packets/pkt-eag76b/cover-letter.pdf,https://welc.ing/packets/pkt-eag76b/pitch.html,
Bain & Company,Principal AI Platform Technical Product Manager,Remote,bain-company-principal-ai-platform-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-1fpb0w5,https://welc.ing/packets/pkt-1fpb0w5/resume-light.pdf,https://welc.ing/packets/pkt-1fpb0w5/resume.pdf,https://welc.ing/packets/pkt-1fpb0w5/cover-letter.txt,https://welc.ing/packets/pkt-1fpb0w5/cover-letter.pdf,https://welc.ing/packets/pkt-1fpb0w5/pitch.html,
Bain & Company,Principal AI Trust & Safety Product Manager,Remote,bain-company-principal-ai-trust-safety-product-manager,curated-role,,,,https://welc.ing/r/pkt-2u0hxr,https://welc.ing/packets/pkt-2u0hxr/resume-light.pdf,https://welc.ing/packets/pkt-2u0hxr/resume.pdf,https://welc.ing/packets/pkt-2u0hxr/cover-letter.txt,https://welc.ing/packets/pkt-2u0hxr/cover-letter.pdf,https://welc.ing/packets/pkt-2u0hxr/pitch.html,
Bain & Company,Principal AI Trust & Safety Technical Product Manager,Remote,bain-company-principal-ai-trust-safety-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-tihlmx,https://welc.ing/packets/pkt-tihlmx/resume-light.pdf,https://welc.ing/packets/pkt-tihlmx/resume.pdf,https://welc.ing/packets/pkt-tihlmx/cover-letter.txt,https://welc.ing/packets/pkt-tihlmx/cover-letter.pdf,https://welc.ing/packets/pkt-tihlmx/pitch.html,
Bain & Company,Principal Applied AI Product Manager,Remote,bain-company-principal-applied-ai-product-manager,curated-role,,,,https://welc.ing/r/pkt-1dwu6al,https://welc.ing/packets/pkt-1dwu6al/resume-light.pdf,https://welc.ing/packets/pkt-1dwu6al/resume.pdf,https://welc.ing/packets/pkt-1dwu6al/cover-letter.txt,https://welc.ing/packets/pkt-1dwu6al/cover-letter.pdf,https://welc.ing/packets/pkt-1dwu6al/pitch.html,
Bain & Company,Principal Applied AI Technical Product Manager,Remote,bain-company-principal-applied-ai-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-yj0oez,https://welc.ing/packets/pkt-yj0oez/resume-light.pdf,https://welc.ing/packets/pkt-yj0oez/resume.pdf,https://welc.ing/packets/pkt-yj0oez/cover-letter.txt,https://welc.ing/packets/pkt-yj0oez/cover-letter.pdf,https://welc.ing/packets/pkt-yj0oez/pitch.html,
Bain & Company,Principal Document AI Product Manager,Remote,bain-company-principal-document-ai-product-manager,curated-role,,,,https://welc.ing/r/pkt-1bjq21v,https://welc.ing/packets/pkt-1bjq21v/resume-light.pdf,https://welc.ing/packets/pkt-1bjq21v/resume.pdf,https://welc.ing/packets/pkt-1bjq21v/cover-letter.txt,https://welc.ing/packets/pkt-1bjq21v/cover-letter.pdf,https://welc.ing/packets/pkt-1bjq21v/pitch.html,
Bain & Company,Principal Document AI Technical Product Manager,Remote,bain-company-principal-document-ai-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-l5t6wl,https://welc.ing/packets/pkt-l5t6wl/resume-light.pdf,https://welc.ing/packets/pkt-l5t6wl/resume.pdf,https://welc.ing/packets/pkt-l5t6wl/cover-letter.txt,https://welc.ing/packets/pkt-l5t6wl/cover-letter.pdf,https://welc.ing/packets/pkt-l5t6wl/pitch.html,
Bain & Company,Principal Identity Product Manager,Remote,bain-company-principal-identity-product-manager,curated-role,,,,https://welc.ing/r/pkt-1a4wtgd,https://welc.ing/packets/pkt-1a4wtgd/resume-light.pdf,https://welc.ing/packets/pkt-1a4wtgd/resume.pdf,https://welc.ing/packets/pkt-1a4wtgd/cover-letter.txt,https://welc.ing/packets/pkt-1a4wtgd/cover-letter.pdf,https://welc.ing/packets/pkt-1a4wtgd/pitch.html,
Bain & Company,Principal Identity Technical Product Manager,Remote,bain-company-principal-identity-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-n53h7f,https://welc.ing/packets/pkt-n53h7f/resume-light.pdf,https://welc.ing/packets/pkt-n53h7f/resume.pdf,https://welc.ing/packets/pkt-n53h7f/cover-letter.txt,https://welc.ing/packets/pkt-n53h7f/cover-letter.pdf,https://welc.ing/packets/pkt-n53h7f/pitch.html,
Bain & Company,Principal LLM Platform Product Manager,Remote,bain-company-principal-llm-platform-product-manager,curated-role,,,,https://welc.ing/r/pkt-cz6xaa,https://welc.ing/packets/pkt-cz6xaa/resume-light.pdf,https://welc.ing/packets/pkt-cz6xaa/resume.pdf,https://welc.ing/packets/pkt-cz6xaa/cover-letter.txt,https://welc.ing/packets/pkt-cz6xaa/cover-letter.pdf,https://welc.ing/packets/pkt-cz6xaa/pitch.html,
Bain & Company,Principal LLM Platform Technical Product Manager,Remote,bain-company-principal-llm-platform-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-1mr4sig,https://welc.ing/packets/pkt-1mr4sig/resume-light.pdf,https://welc.ing/packets/pkt-1mr4sig/resume.pdf,https://welc.ing/packets/pkt-1mr4sig/cover-letter.txt,https://welc.ing/packets/pkt-1mr4sig/cover-letter.pdf,https://welc.ing/packets/pkt-1mr4sig/pitch.html,
Bain & Company,Senior Agent Platform Product Manager,Remote,bain-company-senior-agent-platform-product-manager,curated-role,,,,https://welc.ing/r/pkt-jv7uj6,https://welc.ing/packets/pkt-jv7uj6/resume-light.pdf,https://welc.ing/packets/pkt-jv7uj6/resume.pdf,https://welc.ing/packets/pkt-jv7uj6/cover-letter.txt,https://welc.ing/packets/pkt-jv7uj6/cover-letter.pdf,https://welc.ing/packets/pkt-jv7uj6/pitch.html,
Bain & Company,Senior Agent Platform Technical Product Manager,Remote,bain-company-senior-agent-platform-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-s02h1k,https://welc.ing/packets/pkt-s02h1k/resume-light.pdf,https://welc.ing/packets/pkt-s02h1k/resume.pdf,https://welc.ing/packets/pkt-s02h1k/cover-letter.txt,https://welc.ing/packets/pkt-s02h1k/cover-letter.pdf,https://welc.ing/packets/pkt-s02h1k/pitch.html,
Bain & Company,Senior AI Agents Product Manager,Remote,bain-company-senior-ai-agents-product-manager,curated-role,,,,https://welc.ing/r/pkt-buuf1w,https://welc.ing/packets/pkt-buuf1w/resume-light.pdf,https://welc.ing/packets/pkt-buuf1w/resume.pdf,https://welc.ing/packets/pkt-buuf1w/cover-letter.txt,https://welc.ing/packets/pkt-buuf1w/cover-letter.pdf,https://welc.ing/packets/pkt-buuf1w/pitch.html,
Bain & Company,Senior AI Agents Technical Product Manager,Remote,bain-company-senior-ai-agents-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-1asuo3a,https://welc.ing/packets/pkt-1asuo3a/resume-light.pdf,https://welc.ing/packets/pkt-1asuo3a/resume.pdf,https://welc.ing/packets/pkt-1asuo3a/cover-letter.txt,https://welc.ing/packets/pkt-1asuo3a/cover-letter.pdf,https://welc.ing/packets/pkt-1asuo3a/pitch.html,
Bain & Company,Senior AI Developer Experience Product Manager,Remote,bain-company-senior-ai-developer-experience-product-manager,curated-role,,,,https://welc.ing/r/pkt-2b25k3,https://welc.ing/packets/pkt-2b25k3/resume-light.pdf,https://welc.ing/packets/pkt-2b25k3/resume.pdf,https://welc.ing/packets/pkt-2b25k3/cover-letter.txt,https://welc.ing/packets/pkt-2b25k3/cover-letter.pdf,https://welc.ing/packets/pkt-2b25k3/pitch.html,
Bain & Company,Senior AI Developer Experience Technical Product Manager,Remote,bain-company-senior-ai-developer-experience-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-lcypo5,https://welc.ing/packets/pkt-lcypo5/resume-light.pdf,https://welc.ing/packets/pkt-lcypo5/resume.pdf,https://welc.ing/packets/pkt-lcypo5/cover-letter.txt,https://welc.ing/packets/pkt-lcypo5/cover-letter.pdf,https://welc.ing/packets/pkt-lcypo5/pitch.html,
