Company,Role Title,Location,Slug,Source,Submission URL,Submission Status,Submission Fingerprint,Welc.ing Packet URL (welc.ing/r/<id>),Resume PDF (light),Resume PDF (print),Cover Letter TXT,Cover Letter PDF,Pitch HTML,Pitch MP4 (if present)
Google,Lead AI Developer Experience Technical Product Manager,Remote,google-lead-ai-developer-experience-technical-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-17imuq,https://welc.ing/packets/pkt-17imuq/resume-light.pdf,https://welc.ing/packets/pkt-17imuq/resume.pdf,https://welc.ing/packets/pkt-17imuq/cover-letter.txt,https://welc.ing/packets/pkt-17imuq/cover-letter.pdf,https://welc.ing/packets/pkt-17imuq/pitch.html,
Google,Lead AI Infrastructure Product Manager,Remote,google-lead-ai-infrastructure-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-9eq0sy,https://welc.ing/packets/pkt-9eq0sy/resume-light.pdf,https://welc.ing/packets/pkt-9eq0sy/resume.pdf,https://welc.ing/packets/pkt-9eq0sy/cover-letter.txt,https://welc.ing/packets/pkt-9eq0sy/cover-letter.pdf,https://welc.ing/packets/pkt-9eq0sy/pitch.html,
Google,Lead AI Infrastructure Technical Product Manager,Remote,google-lead-ai-infrastructure-technical-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-1yn4n7s,https://welc.ing/packets/pkt-1yn4n7s/resume-light.pdf,https://welc.ing/packets/pkt-1yn4n7s/resume.pdf,https://welc.ing/packets/pkt-1yn4n7s/cover-letter.txt,https://welc.ing/packets/pkt-1yn4n7s/cover-letter.pdf,https://welc.ing/packets/pkt-1yn4n7s/pitch.html,
Google,Lead AI Platform Product Manager,Remote,google-lead-ai-platform-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-1m6xhja,https://welc.ing/packets/pkt-1m6xhja/resume-light.pdf,https://welc.ing/packets/pkt-1m6xhja/resume.pdf,https://welc.ing/packets/pkt-1m6xhja/cover-letter.txt,https://welc.ing/packets/pkt-1m6xhja/cover-letter.pdf,https://welc.ing/packets/pkt-1m6xhja/pitch.html,
Google,Lead AI Platform Technical Product Manager,Remote,google-lead-ai-platform-technical-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-c9kilw,https://welc.ing/packets/pkt-c9kilw/resume-light.pdf,https://welc.ing/packets/pkt-c9kilw/resume.pdf,https://welc.ing/packets/pkt-c9kilw/cover-letter.txt,https://welc.ing/packets/pkt-c9kilw/cover-letter.pdf,https://welc.ing/packets/pkt-c9kilw/pitch.html,
Google,Lead AI Trust & Safety Product Manager,Remote,google-lead-ai-trust-safety-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-1y5c9vm,https://welc.ing/packets/pkt-1y5c9vm/resume-light.pdf,https://welc.ing/packets/pkt-1y5c9vm/resume.pdf,https://welc.ing/packets/pkt-1y5c9vm/cover-letter.txt,https://welc.ing/packets/pkt-1y5c9vm/cover-letter.pdf,https://welc.ing/packets/pkt-1y5c9vm/pitch.html,
Google,Lead AI Trust & Safety Technical Product Manager,Remote,google-lead-ai-trust-safety-technical-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-i92frs,https://welc.ing/packets/pkt-i92frs/resume-light.pdf,https://welc.ing/packets/pkt-i92frs/resume.pdf,https://welc.ing/packets/pkt-i92frs/cover-letter.txt,https://welc.ing/packets/pkt-i92frs/cover-letter.pdf,https://welc.ing/packets/pkt-i92frs/pitch.html,
Google,Lead Applied AI Product Manager,Remote,google-lead-applied-ai-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-1cdc426,https://welc.ing/packets/pkt-1cdc426/resume-light.pdf,https://welc.ing/packets/pkt-1cdc426/resume.pdf,https://welc.ing/packets/pkt-1cdc426/cover-letter.txt,https://welc.ing/packets/pkt-1cdc426/cover-letter.pdf,https://welc.ing/packets/pkt-1cdc426/pitch.html,
Google,Lead Applied AI Technical Product Manager,Remote,google-lead-applied-ai-technical-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-16x4hqk,https://welc.ing/packets/pkt-16x4hqk/resume-light.pdf,https://welc.ing/packets/pkt-16x4hqk/resume.pdf,https://welc.ing/packets/pkt-16x4hqk/cover-letter.txt,https://welc.ing/packets/pkt-16x4hqk/cover-letter.pdf,https://welc.ing/packets/pkt-16x4hqk/pitch.html,
Google,Lead Document AI Product Manager,Remote,google-lead-document-ai-product-manager,curated-role,https://careers.google.com,live,,https://welc.ing/r/pkt-1go9t2a,https://welc.ing/packets/pkt-1go9t2a/resume-light.pdf,https://welc.ing/packets/pkt-1go9t2a/resume.pdf,https://welc.ing/packets/pkt-1go9t2a/cover-letter.txt,https://welc.ing/packets/pkt-1go9t2a/cover-letter.pdf,https://welc.ing/packets/pkt-1go9t2a/pitch.html,
