Company,Role Title,Location,Slug,Source,Submission URL,Submission Status,Submission Fingerprint,Welc.ing Packet URL (welc.ing/r/<id>),Resume PDF (light),Resume PDF (print),Cover Letter TXT,Cover Letter PDF,Pitch HTML,Pitch MP4 (if present)
DoorDash,Staff LLM Platform Technical Product Manager,Remote,doordash-staff-llm-platform-technical-product-manager,curated-role,https://jobs.smartrecruiters.com/doordash,live,,https://welc.ing/r/pkt-1ux4anc,https://welc.ing/packets/pkt-1ux4anc/resume-light.pdf,https://welc.ing/packets/pkt-1ux4anc/resume.pdf,https://welc.ing/packets/pkt-1ux4anc/cover-letter.txt,https://welc.ing/packets/pkt-1ux4anc/cover-letter.pdf,https://welc.ing/packets/pkt-1ux4anc/pitch.html,
Dow Jones,Principal Product Manager - Subscriber Activation & Retention,"New York, NY",dow-jones-principal-product-manager-subscriber-activation-retention,curated-role,https://www.dow-jones.com/careers,live,,https://welc.ing/r/pkt-1bqrtdl,https://welc.ing/packets/pkt-1bqrtdl/resume-light.pdf,https://welc.ing/packets/pkt-1bqrtdl/resume.pdf,https://welc.ing/packets/pkt-1bqrtdl/cover-letter.txt,https://welc.ing/packets/pkt-1bqrtdl/cover-letter.pdf,https://welc.ing/packets/pkt-1bqrtdl/pitch.html,
Duolingo,"Senior Product Manager, Notifications","New York, NY",duolingo-senior-product-manager-notifications,curated-role,https://jobs.smartrecruiters.com/duolingo,live,,https://welc.ing/r/pkt-1267k60,https://welc.ing/packets/pkt-1267k60/resume-light.pdf,https://welc.ing/packets/pkt-1267k60/resume.pdf,https://welc.ing/packets/pkt-1267k60/cover-letter.txt,https://welc.ing/packets/pkt-1267k60/cover-letter.pdf,https://welc.ing/packets/pkt-1267k60/pitch.html,
ECI,Senior Product Manager,"New York, NY",eci-senior-product-manager,curated-role,https://www.eci.com/careers,live,,https://welc.ing/r/pkt-f1zfbl,https://welc.ing/packets/pkt-f1zfbl/resume-light.pdf,https://welc.ing/packets/pkt-f1zfbl/resume.pdf,https://welc.ing/packets/pkt-f1zfbl/cover-letter.txt,https://welc.ing/packets/pkt-f1zfbl/cover-letter.pdf,https://welc.ing/packets/pkt-f1zfbl/pitch.html,
EDO,"Principal Product Manager, Data Products","New York, NY",edo-principal-product-manager-data-products,curated-role,https://boards.greenhouse.io/edo,live,,https://welc.ing/r/pkt-1h2sy8a,https://welc.ing/packets/pkt-1h2sy8a/resume-light.pdf,https://welc.ing/packets/pkt-1h2sy8a/resume.pdf,https://welc.ing/packets/pkt-1h2sy8a/cover-letter.txt,https://welc.ing/packets/pkt-1h2sy8a/cover-letter.pdf,https://welc.ing/packets/pkt-1h2sy8a/pitch.html,
EliseAI,Product Solutions Lead,"New York, NY",eliseai-product-solutions-lead,curated-role,https://www.eliseai.com/careers,live,,https://welc.ing/r/pkt-mpftap,https://welc.ing/packets/pkt-mpftap/resume-light.pdf,https://welc.ing/packets/pkt-mpftap/resume.pdf,https://welc.ing/packets/pkt-mpftap/cover-letter.txt,https://welc.ing/packets/pkt-mpftap/cover-letter.pdf,https://welc.ing/packets/pkt-mpftap/pitch.html,
Ernesta Inc.,Senior Product Manager,New York City Metropolitan Area,ernesta-inc-senior-product-manager,curated-role,,,,https://welc.ing/r/pkt-1bsai3j,https://welc.ing/packets/pkt-1bsai3j/resume-light.pdf,https://welc.ing/packets/pkt-1bsai3j/resume.pdf,https://welc.ing/packets/pkt-1bsai3j/cover-letter.txt,https://welc.ing/packets/pkt-1bsai3j/cover-letter.pdf,https://welc.ing/packets/pkt-1bsai3j/pitch.html,
exacare ai,Head of Agent Platform Product Manager,Remote,exacare-ai-head-of-agent-platform-product-manager,curated-role,,,,https://welc.ing/r/pkt-1nzvcl8,https://welc.ing/packets/pkt-1nzvcl8/resume-light.pdf,https://welc.ing/packets/pkt-1nzvcl8/resume.pdf,https://welc.ing/packets/pkt-1nzvcl8/cover-letter.txt,https://welc.ing/packets/pkt-1nzvcl8/cover-letter.pdf,https://welc.ing/packets/pkt-1nzvcl8/pitch.html,
exacare ai,Head of Agent Platform Technical Product Manager,Remote,exacare-ai-head-of-agent-platform-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-ng7xvy,https://welc.ing/packets/pkt-ng7xvy/resume-light.pdf,https://welc.ing/packets/pkt-ng7xvy/resume.pdf,https://welc.ing/packets/pkt-ng7xvy/cover-letter.txt,https://welc.ing/packets/pkt-ng7xvy/cover-letter.pdf,https://welc.ing/packets/pkt-ng7xvy/pitch.html,
exacare ai,Head of AI Agents Product Manager,Remote,exacare-ai-head-of-ai-agents-product-manager,curated-role,,,,https://welc.ing/r/pkt-9yptf6,https://welc.ing/packets/pkt-9yptf6/resume-light.pdf,https://welc.ing/packets/pkt-9yptf6/resume.pdf,https://welc.ing/packets/pkt-9yptf6/cover-letter.txt,https://welc.ing/packets/pkt-9yptf6/cover-letter.pdf,https://welc.ing/packets/pkt-9yptf6/pitch.html,
exacare ai,Head of AI Agents Technical Product Manager,Remote,exacare-ai-head-of-ai-agents-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-yy7kmg,https://welc.ing/packets/pkt-yy7kmg/resume-light.pdf,https://welc.ing/packets/pkt-yy7kmg/resume.pdf,https://welc.ing/packets/pkt-yy7kmg/cover-letter.txt,https://welc.ing/packets/pkt-yy7kmg/cover-letter.pdf,https://welc.ing/packets/pkt-yy7kmg/pitch.html,
exacare ai,Head of AI Developer Experience Product Manager,Remote,exacare-ai-head-of-ai-developer-experience-product-manager,curated-role,,,,https://welc.ing/r/pkt-16i09kl,https://welc.ing/packets/pkt-16i09kl/resume-light.pdf,https://welc.ing/packets/pkt-16i09kl/resume.pdf,https://welc.ing/packets/pkt-16i09kl/cover-letter.txt,https://welc.ing/packets/pkt-16i09kl/cover-letter.pdf,https://welc.ing/packets/pkt-16i09kl/pitch.html,
exacare ai,Head of AI Developer Experience Technical Product Manager,Remote,exacare-ai-head-of-ai-developer-experience-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-1kc7br7,https://welc.ing/packets/pkt-1kc7br7/resume-light.pdf,https://welc.ing/packets/pkt-1kc7br7/resume.pdf,https://welc.ing/packets/pkt-1kc7br7/cover-letter.txt,https://welc.ing/packets/pkt-1kc7br7/cover-letter.pdf,https://welc.ing/packets/pkt-1kc7br7/pitch.html,
exacare ai,Head of AI Infrastructure Product Manager,Remote,exacare-ai-head-of-ai-infrastructure-product-manager,curated-role,,,,https://welc.ing/r/pkt-scfhqb,https://welc.ing/packets/pkt-scfhqb/resume-light.pdf,https://welc.ing/packets/pkt-scfhqb/resume.pdf,https://welc.ing/packets/pkt-scfhqb/cover-letter.txt,https://welc.ing/packets/pkt-scfhqb/cover-letter.pdf,https://welc.ing/packets/pkt-scfhqb/pitch.html,
exacare ai,Head of AI Infrastructure Technical Product Manager,Remote,exacare-ai-head-of-ai-infrastructure-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-x9tj2t,https://welc.ing/packets/pkt-x9tj2t/resume-light.pdf,https://welc.ing/packets/pkt-x9tj2t/resume.pdf,https://welc.ing/packets/pkt-x9tj2t/cover-letter.txt,https://welc.ing/packets/pkt-x9tj2t/cover-letter.pdf,https://welc.ing/packets/pkt-x9tj2t/pitch.html,
exacare ai,Head of AI Platform Product Manager,Remote,exacare-ai-head-of-ai-platform-product-manager,curated-role,,,,https://welc.ing/r/pkt-29jknr,https://welc.ing/packets/pkt-29jknr/resume-light.pdf,https://welc.ing/packets/pkt-29jknr/resume.pdf,https://welc.ing/packets/pkt-29jknr/cover-letter.txt,https://welc.ing/packets/pkt-29jknr/cover-letter.pdf,https://welc.ing/packets/pkt-29jknr/pitch.html,
exacare ai,Head of AI Platform Technical Product Manager,Remote,exacare-ai-head-of-ai-platform-technical-product-manager,curated-role,,,,https://welc.ing/r/pkt-xkltc1,https://welc.ing/packets/pkt-xkltc1/resume-light.pdf,https://welc.ing/packets/pkt-xkltc1/resume.pdf,https://welc.ing/packets/pkt-xkltc1/cover-letter.txt,https://welc.ing/packets/pkt-xkltc1/cover-letter.pdf,https://welc.ing/packets/pkt-xkltc1/pitch.html,
exacare ai,Head of AI Trust & Safety Product Manager,Remote,exacare-ai-head-of-ai-trust-safety-product-manager,curated-role,,,,https://welc.ing/r/pkt-19ycmtv,https://welc.ing/packets/pkt-19ycmtv/resume-light.pdf,https://welc.ing/packets/pkt-19ycmtv/resume.pdf,https://welc.ing/packets/pkt-19ycmtv/cover-letter.txt,https://welc.ing/packets/pkt-19ycmtv/cover-letter.pdf,https://welc.ing/packets/pkt-19ycmtv/pitch.html,
